Date,Open,High,Low,Close,Volume
2025-11-24 00:00:00+01:00,2718.219,2734.792,2712.635,2725.349,141890970
2025-11-25 00:00:00+01:00,2729.558,2764.254,2722.29,2758.161,68194207
2025-11-26 00:00:00+01:00,2775.101,2786.153,2763.251,2779.442,59217169
2025-11-27 00:00:00+01:00,2783.759,2795.383,2780.328,2789.44,44912952
2025-11-28 00:00:00+01:00,2792.143,2794.49,2782.231,2787.769,96818853
2025-12-01 00:00:00+01:00,2776.888,2786.596,2766.181,2784.529,54781734
2025-12-02 00:00:00+01:00,2784.243,2790.437,2774.182,2783.527,52971912
2025-12-03 00:00:00+01:00,2788.357,2792.877,2774.474,2779.824,56299363
2025-12-04 00:00:00+01:00,2801.09,2819.051,2792.365,2813.605,62619089
2025-12-05 00:00:00+01:00,2826.267,2837.555,2818.758,2826.621,54013546
2025-12-08 00:00:00+01:00,2827.192,2830.944,2817.521,2823.91,47380440
2025-12-09 00:00:00+01:00,2827.579,2832.481,2804.295,2808.732,60466755
2025-12-10 00:00:00+01:00,2802.782,2813.533,2796.026,2810.589,57006621
2025-12-11 00:00:00+01:00,2809.842,2837.556,2800.451,2829.044,51899373
2025-12-12 00:00:00+01:00,2839.357,2853.372,2818.902,2821.013,56766388
2025-12-15 00:00:00+01:00,2830.033,2842.054,2825.786,2832.712,66081514
2025-12-16 00:00:00+01:00,2824.218,2828.681,2807.803,2812.833,62876606
2025-12-17 00:00:00+01:00,2821.084,2821.875,2791.159,2794.945,56239111
2025-12-18 00:00:00+01:00,2792.675,2829.038,2787.311,2827.905,59476587
2025-12-19 00:00:00+01:00,2828.641,2844.3,2826.825,2841.269,95784521
2025-12-22 00:00:00+01:00,2842.355,2848.664,2828.108,2845.062,40344935
2025-12-23 00:00:00+01:00,2845.91,2856.272,2843.552,2849.094,42964068
2025-12-29 00:00:00+01:00,2857.944,2867.166,2849.619,2863.64,45546329
2025-12-30 00:00:00+01:00,2858.662,2893.865,2857.735,2882.969,56403319
2026-01-02 00:00:00+01:00,2885.948,2899.056,2871.62,2881.191,58478442
2026-01-05 00:00:00+01:00,2894.231,2910.863,2882.856,2901.784,41635436
2026-01-07 00:00:00+01:00,2933.967,2968.35,2925.431,2963.308,108501864
2026-01-08 00:00:00+01:00,2957.916,2958.354,2933.37,2937.939,74035827
2026-01-09 00:00:00+01:00,2941.081,2975.693,2939.926,2974.602,75969906
2026-01-12 00:00:00+01:00,2975.729,2992.718,2968.739,2984.211,64772078
2026-01-13 00:00:00+01:00,2988.274,2989.958,2966.3,2983.897,76231707
2026-01-14 00:00:00+01:00,2992.138,3001.901,2973.83,2983.908,86661993
2026-01-15 00:00:00+01:00,3006.266,3038.744,3006.266,3036.642,87859166
2026-01-16 00:00:00+01:00,3034.366,3039.231,3020.396,3039.091,87244993
2026-01-19 00:00:00+01:00,2979.152,3001.171,2973.823,2984.581,85767396
2026-01-20 00:00:00+01:00,2957.18,2976.371,2940.483,2976.371,73406928
2026-01-21 00:00:00+01:00,2966.926,2988.034,2947.964,2988.02,81816731
